Range,Graduation,Manufacturer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.04 inches,0.001 inches,BS,-0.02,-0.019,-0.018,-0.017,-0.015,-0.01,-0.009,-0.008,-0.007,-0.006,-0.005,0,0.001,0.002,0.003,0.005,0.01,0.011,0.012,0.013,0.014,0.015,0.02,,,,,,,,,,,,,,,,,
0.03 inches,0.001 inches,BS,-0.015,-0.014,-0.013,-0.012,-0.01,-0.005,0,0.001,0.002,0.003,0.005,0.01,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.008 inches,0.0001 inches,BS,-0.004,-0.0039,-0.0038,-0.0037,-0.0035,-0.003,-0.0025,-0.002,-0.0019,-0.0018,-0.0017,-0.0015,-0.001,-0.0005,0,0.0001,0.0002,0.0003,0.0005,0.001,0.0015,0.002,0.0021,0.0022,0.0023,0.0025,0.003,0.0035,0.004,,,,,,,,,,,
0.01 inches,0.0001 inches,BS,-0.005,-0.0049,-0.0048,-0.0047,-0.0045,-0.004,-0.0035,-0.0025,-0.0024,-0.0023,-0.0022,-0.002,-0.0015,-0.001,0,0.0001,0.0002,0.0003,0.0005,0.001,0.0015,0.0025,0.0026,0.0027,0.0028,0.003,0.0035,0.004,0.005,,,,,,,,,,,
0.016 inches,0.0001 inches,BS,-0.008,-0.0079,-0.0078,-0.0077,-0.0075,-0.007,-0.0065,-0.004,-0.0039,-0.0038,-0.0037,-0.0035,-0.003,-0.0025,0,0.0001,0.0002,0.0003,0.0005,0.001,0.0015,0.004,0.0041,0.0042,0.0043,0.0045,0.005,0.0055,0.008,,,,,,,,,,,
0.03 inches,0.0005 inches,BS,-0.015,-0.0145,-0.014,-0.0135,-0.0125,-0.01,-0.0075,-0.007,-0.0065,-0.006,-0.0055,-0.005,-0.0025,0,0.0005,0.001,0.0015,0.0025,0.005,0.0075,0.008,0.0085,0.009,0.0095,0.01,0.0125,0.015,,,,,,,,,,,,,
0.06 inches,0.0005 inches,BS,-0.03,-0.0295,-0.029,-0.0285,-0.0275,-0.025,-0.0225,-0.015,-0.0145,-0.014,-0.0135,-0.0125,-0.01,-0.0075,0,0.0005,0.001,0.0015,0.0025,0.005,0.0075,0.015,0.0155,0.016,0.0165,0.0175,0.02,0.0225,0.03,,,,,,,,,,,
0.02 inches,0.0005 inches,BS,-0.01,-0.0095,-0.009,-0.0085,-0.0075,-0.005,-0.0045,-0.004,-0.0035,-0.003,-0.0025,0,0.0005,0.001,0.0015,0.0025,0.005,0.0055,0.006,0.0065,0.007,0.0075,0.01,,,,,,,,,,,,,,,,,
0.8 mm,0.01 mm,BS,-0.4,-0.39,-0.38,-0.37,-0.35,-0.3,-0.25,-0.2,-0.19,-0.18,-0.17,-0.15,-0.1,-0.05,0,0.01,0.02,0.03,0.05,0.1,0.15,0.2,0.21,0.22,0.23,0.25,0.3,0.35,0.4,,,,,,,,,,,
0.5 mm,0.01 mm,BS,-0.25,-0.24,-0.23,-0.22,-0.2,-0.15,-0.14,-0.13,-0.12,-0.11,-0.1,-0.05,0,0.01,0.02,0.03,0.05,0.1,0.11,0.12,0.13,0.14,0.15,0.2,0.25,,,,,,,,,,,,,,,
1 mm,0.01 mm,BS,-0.5,-0.49,-0.48,-0.47,-0.45,-0.4,-0.35,-0.25,-0.24,-0.23,-0.22,-0.2,-0.15,-0.1,0,0.01,0.02,0.03,0.05,0.1,0.15,0.25,0.26,0.27,0.28,0.3,0.35,0.4,0.5,,,,,,,,,,,
1.6 mm,0.01 mm,BS,-0.8,-0.79,-0.78,-0.77,-1.45,-0.65,-0.4,-0.39,-0.38,-0.37,-0.35,-0.3,-0.25,0,0.01,0.02,0.03,0.05,0.1,0.15,0.4,0.41,0.42,0.43,0.45,0.5,0.55,0.8,,,,,,,,,,,,
1.5 mm,0.01 mm,BS,-0.75,-0.74,-0.73,-0.72,-0.7,-0.65,-0.6,-0.37,-0.36,-0.35,-0.34,-0.3,-0.25,-0.2,0,0.01,0.02,0.03,0.05,0.1,0.15,0.38,0.39,0.4,0.41,0.45,0.5,0.55,0.75,,,,,,,,,,,
0.6 mm,0.002 mm,BS,-0.3,-0.298,-0.296,-0.294,-0.292,-0.29,-0.288,-0.286,-0.284,-0.282,-0.28,-0.26,-0.24,-0.22,-0.2,-0.18,-0.16,-0.14,-0.12,-0.1,-0.08,-0.06,-0.04,-0.02,0,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3
0.2 mm,0.002 mm,BS,-0.1,-0.098,-0.096,-0.094,-0.09,-0.08,-0.07,-0.05,-0.048,-0.046,-0.044,-0.04,-0.03,-0.02,0,0.002,0.004,0.006,0.01,0.02,0.03,0.05,0.052,0.054,0.056,0.06,0.07,0.08,0.1,,,,,,,,,,,
